Localité;;"T06M1E2 [°C]";"T06M1E2 [%HR]";"T07M1E2 [°C]";"T07M1E2 [%HR]";"T08M1LV [°C]";"T08M1LV [%HR]"
"Groupe de points de mesure";;;;;;;
Zone;;;;;;;
"Limite inférieure";;15,0;15,0;15,0;15,0;15,0;15,0
07/08/2022;15:15:00;21,4;38,0;23,2;34,0;24,3;32,7
07/08/2022;15:30:00;21,5;37,5;23,2;33,9;24,3;32,9
07/08/2022;15:45:00;21,5;37,0;23,3;33,6;24,3;32,3
07/08/2022;16:00:00;21,5;37,0;23,3;33,4;24,3;32,3
07/08/2022;16:15:00;21,5;36,7;23,4;33,2;24,3;32,2
07/08/2022;16:30:00;21,5;36,5;23,4;33,1;24,4;31,9
07/08/2022;16:45:00;21,5;36,3;23,4;33,0;24,3;32,4
07/08/2022;17:00:00;21,5;36,2;23,4;32,7;24,4;31,5
07/08/2022;17:15:00;21,5;36,2;23,4;32,7;24,3;31,6
07/08/2022;17:30:00;21,5;36,0;23,3;32,6;24,3;31,5
07/08/2022;17:45:00;21,5;36,6;23,3;32,6;24,4;32,6
07/08/2022;18:00:00;22,5;37,6;23,9;33,5;24,9;34,7
07/08/2022;18:15:00;23,1;37,8;24,3;34,5;25,3;35,7
07/08/2022;18:30:00;23,4;38,4;24,5;35,4;25,4;36,5
07/08/2022;18:45:00;23,7;38,3;24,7;35,9;25,4;37,1
07/08/2022;19:00:00;23,8;38,6;24,7;36,6;25,4;37,4
07/08/2022;19:15:00;23,9;38,9;24,8;37,2;25,4;37,6
07/08/2022;19:30:00;24,0;39,3;24,8;37,6;25,3;37,8
07/08/2022;19:45:00;24,0;40,2;24,8;37,9;25,3;38,2
07/08/2022;20:00:00;24,1;40,7;24,9;38,2;25,2;38,5
07/08/2022;20:15:00;24,1;41,7;24,9;38,6;25,2;38,9
07/08/2022;20:30:00;24,1;42,1;24,9;39,0;25,1;39,2
07/08/2022;20:45:00;24,2;42,4;24,9;39,3;25,1;39,7
07/08/2022;21:00:00;24,2;42,6;24,9;39,6;25,0;40,2
07/08/2022;21:15:00;24,2;43,0;24,9;39,8;25,1;40,4
07/08/2022;21:30:00;24,3;43,3;24,9;40,0;25,0;40,5
07/08/2022;21:45:00;24,3;43,5;24,9;40,2;25,0;40,9
07/08/2022;22:00:00;24,3;43,6;24,9;40,4;25,0;41,0
07/08/2022;22:15:00;24,3;43,7;24,9;40,6;25,0;41,1
07/08/2022;22:30:00;24,3;43,8;24,8;40,8;25,0;41,2
07/08/2022;22:45:00;24,3;43,9;24,8;41,0;25,0;41,8
07/08/2022;23:00:00;24,3;43,9;24,8;41,3;25,0;41,4
07/08/2022;23:15:00;24,3;43,9;24,8;41,6;24,9;41,4
07/08/2022;23:30:00;24,3;44,0;24,8;42,1;24,9;41,9
07/08/2022;23:45:00;24,3;44,0;24,8;42,3;24,9;41,7
08/08/2022;00:00:00;24,2;44,1;24,7;42,5;24,9;42,1
08/08/2022;00:15:00;24,2;44,2;24,7;42,5;24,9;42,2
08/08/2022;00:30:00;24,2;44,3;24,7;42,7;24,8;42,5
08/08/2022;00:45:00;24,2;44,4;24,7;42,8;24,8;43,0
08/08/2022;01:00:00;24,2;44,5;24,6;43,1;24,8;42,9
08/08/2022;01:15:00;24,1;44,7;24,6;43,3;24,8;43,4
08/08/2022;01:30:00;24,1;44,8;24,6;43,6;24,8;43,5
08/08/2022;01:45:00;24,1;44,9;24,5;43,7;24,8;43,9
08/08/2022;02:00:00;24,1;44,9;24,5;43,9;24,8;44,0
08/08/2022;02:15:00;24,1;45,0;24,5;44,2;24,7;44,4
08/08/2022;02:30:00;24,0;45,1;24,4;44,5;24,7;44,8
08/08/2022;02:45:00;24,0;45,3;24,4;44,7;24,7;45,1
08/08/2022;03:00:00;24,0;45,4;24,3;44,8;24,6;44,9
08/08/2022;03:15:00;23,9;45,5;24,3;44,9;24,6;45,3
08/08/2022;03:30:00;23,9;45,6;24,3;45,2;24,6;45,6
08/08/2022;03:45:00;23,9;45,8;24,2;45,3;24,6;46,2
08/08/2022;04:00:00;23,8;46,0;24,2;45,5;24,5;46,0
08/08/2022;04:15:00;23,8;46,1;24,1;45,6;24,5;45,9
08/08/2022;04:30:00;23,7;46,3;24,1;45,7;24,5;46,5
08/08/2022;04:45:00;23,7;46,4;24,0;45,8;24,5;46,9
08/08/2022;05:00:00;23,7;46,5;24,0;46,0;24,4;47,5
08/08/2022;05:15:00;23,6;46,6;23,9;46,2;24,4;47,4
08/08/2022;05:30:00;23,6;46,6;23,9;46,4;24,3;48,1
08/08/2022;05:45:00;23,5;46,7;23,9;46,6;24,3;48,0
08/08/2022;06:00:00;23,5;46,9;23,8;46,7;24,3;48,4
08/08/2022;06:15:00;23,5;46,9;23,8;46,9;24,3;48,6
08/08/2022;06:30:00;23,4;47,0;23,7;47,0;24,2;48,6
08/08/2022;06:45:00;23,4;47,2;23,7;47,2;24,2;48,9
08/08/2022;07:00:00;23,3;47,4;23,6;47,4;24,1;48,9
08/08/2022;07:15:00;23,3;47,5;23,6;47,7;24,1;48,6
08/08/2022;07:30:00;23,2;47,6;23,5;47,8;24,1;49,0
08/08/2022;07:45:00;23,2;47,8;23,5;47,9;24,0;49,1
08/08/2022;08:00:00;23,2;47,9;23,5;47,9;24,0;49,1
08/08/2022;08:15:00;23,2;48,0;23,5;48,0;24,0;49,0
08/08/2022;08:30:00;23,2;48,1;23,5;48,1;24,0;49,0
08/08/2022;08:45:00;23,2;48,2;23,5;48,1;24,0;49,4
08/08/2022;09:00:00;23,3;48,4;23,5;48,1;24,0;48,5
08/08/2022;09:15:00;23,3;48,4;23,6;48,1;24,1;48,4
08/08/2022;09:30:00;23,4;49,1;23,6;48,0;24,1;48,9
08/08/2022;09:45:00;22,7;45,3;23,6;47,6;23,9;50,8
08/08/2022;10:00:00;22,0;42,7;23,0;42,8;23,8;45,1
08/08/2022;10:15:00;21,7;43,6;22,6;40,7;23,7;46,1
08/08/2022;10:30:00;21,6;44,7;22,5;39,8;23,7;45,1
08/08/2022;10:45:00;21,6;44,9;22,5;39,2;23,7;44,2
08/08/2022;11:00:00;21,6;44,4;22,5;39,4;23,6;45,1
08/08/2022;11:15:00;21,6;43,2;22,5;38,8;23,7;47,2
08/08/2022;11:30:00;21,5;42,4;22,4;38,5;23,7;43,7
08/08/2022;11:45:00;21,4;40,9;22,4;38,0;23,7;46,1
08/08/2022;12:00:00;21,5;41,3;22,4;38,2;23,8;48,4
08/08/2022;12:15:00;21,4;39,6;22,5;37,4;23,7;42,5
08/08/2022;12:30:00;21,3;42,2;22,5;36,5;23,8;45,0
08/08/2022;12:45:00;21,2;38,6;22,5;36,1;23,8;45,7
08/08/2022;13:00:00;21,2;37,8;22,6;35,6;23,9;43,6
08/08/2022;13:15:00;21,3;37,8;22,7;36,3;23,9;41,8
08/08/2022;13:30:00;21,3;37,2;22,7;35,2;24,0;46,4
08/08/2022;13:45:00;21,4;37,4;22,8;35,1;24,0;41,5
08/08/2022;14:00:00;21,4;37,8;22,9;35,5;23,8;39,7
08/08/2022;14:15:00;21,5;37,2;23,0;35,0;23,7;37,3
08/08/2022;14:30:00;21,5;37,0;23,1;34,7;23,7;37,3
08/08/2022;14:45:00;21,5;36,9;23,1;34,5;23,7;37,7
08/08/2022;15:00:00;21,6;37,0;23,2;34,7;23,7;38,0
08/08/2022;15:15:00;21,6;37,7;23,2;34,8;24,0;37,1
08/08/2022;15:30:00;21,6;36,8;23,3;33,9;23,9;38,2
08/08/2022;15:45:00;21,7;36,6;23,3;33,9;23,9;37,8
08/08/2022;16:00:00;21,7;36,9;23,3;34,2;24,0;39,1
08/08/2022;16:15:00;21,7;36,9;23,3;34,2;24,1;41,0
08/08/2022;16:30:00;21,7;37,9;23,4;35,8;24,0;38,6
08/08/2022;16:45:00;21,7;37,5;23,5;36,4;23,7;38,7
08/08/2022;17:00:00;21,7;37,0;23,4;35,3;23,7;40,5
08/08/2022;17:15:00;21,6;37,2;23,3;35,1;23,8;41,9
08/08/2022;17:30:00;21,6;36,5;23,2;34,4;23,9;42,9
08/08/2022;17:45:00;21,5;36,7;23,1;34,2;23,9;41,9
08/08/2022;18:00:00;21,5;36,3;23,0;33,7;23,8;41,3
08/08/2022;18:15:00;21,6;40,8;23,0;34,2;23,9;43,4
08/08/2022;18:30:00;21,5;36,9;23,0;34,5;23,9;47,7
08/08/2022;18:45:00;21,4;36,2;22,9;34,4;23,8;46,5
08/08/2022;19:00:00;21,5;40,1;22,9;34,4;23,7;45,8
08/08/2022;19:15:00;21,4;36,4;22,8;34,1;23,6;44,5
08/08/2022;19:30:00;21,6;37,8;22,9;34,8;23,6;37,8
08/08/2022;19:45:00;22,4;39,6;23,5;35,3;23,8;39,6
08/08/2022;20:00:00;22,8;40,1;23,8;35,7;24,0;39,7
08/08/2022;20:15:00;23,1;41,1;24,0;36,1;24,1;40,1
08/08/2022;20:30:00;23,2;41,8;24,1;36,6;24,2;40,8
08/08/2022;20:45:00;23,3;42,4;24,1;37,2;24,2;41,3
08/08/2022;21:00:00;23,4;42,9;24,2;37,6;24,2;41,9
08/08/2022;21:15:00;23,5;43,3;24,2;38,0;24,3;43,1
08/08/2022;21:30:00;23,6;43,7;24,3;38,4;24,3;43,6
08/08/2022;21:45:00;23,6;44,1;24,3;38,8;24,2;44,3
08/08/2022;22:00:00;23,6;44,2;24,3;39,2;24,2;45,3
08/08/2022;22:15:00;23,7;44,4;24,3;39,6;24,2;44,5
08/08/2022;22:30:00;23,7;44,4;24,3;40,0;24,2;43,9
08/08/2022;22:45:00;23,7;44,5;24,3;40,3;24,2;43,3
08/08/2022;23:00:00;23,7;44,5;24,3;41,1;24,2;43,8
08/08/2022;23:15:00;23,7;44,6;24,2;41,8;24,2;45,0
08/08/2022;23:30:00;23,7;44,8;24,2;42,2;24,2;45,2
08/08/2022;23:45:00;23,7;45,1;24,2;42,2;24,2;45,5
09/08/2022;00:00:00;23,7;45,2;24,2;42,4;24,1;45,3
09/08/2022;00:15:00;23,7;45,2;24,1;42,7;24,1;45,8
09/08/2022;00:30:00;23,7;45,1;24,1;43,4;24,1;45,7
09/08/2022;00:45:00;23,6;45,1;24,0;43,7;24,1;45,5
09/08/2022;01:00:00;23,6;45,1;24,0;43,8;24,0;45,5
09/08/2022;01:15:00;23,5;45,2;23,9;43,9;24,0;45,7
09/08/2022;01:30:00;23,5;45,2;23,9;44,1;24,0;46,0
09/08/2022;01:45:00;23,5;45,3;23,9;44,3;24,0;47,5
09/08/2022;02:00:00;23,4;45,4;23,8;44,5;24,0;47,9
09/08/2022;02:15:00;23,4;45,6;23,8;44,9;24,0;49,1
09/08/2022;02:30:00;23,4;45,7;23,8;45,2;23,9;48,7
09/08/2022;02:45:00;23,3;45,9;23,7;45,4;23,9;48,7
09/08/2022;03:00:00;23,3;46,0;23,7;45,6;23,9;48,7
09/08/2022;03:15:00;23,3;46,1;23,6;45,8;23,8;49,1
09/08/2022;03:30:00;23,2;46,4;23,6;46,1;23,8;48,3
09/08/2022;03:45:00;23,2;46,4;23,6;46,3;23,8;48,9
09/08/2022;04:00:00;23,2;46,5;23,5;46,5;23,7;48,8
09/08/2022;04:15:00;23,1;46,7;23,5;46,5;23,8;48,2
09/08/2022;04:30:00;23,1;46,9;23,5;46,6;23,7;49,5
09/08/2022;04:45:00;23,1;47,1;23,5;46,7;23,7;48,6
09/08/2022;05:00:00;23,1;47,2;23,4;46,8;23,7;48,9
09/08/2022;05:15:00;23,1;47,4;23,4;47,0;23,7;48,7
09/08/2022;05:30:00;23,1;47,6;23,4;47,0;23,7;48,9
09/08/2022;05:45:00;23,1;47,8;23,4;47,1;23,7;49,5
09/08/2022;06:00:00;23,1;47,9;23,4;47,2;23,7;49,6
09/08/2022;06:15:00;23,1;48,1;23,4;47,4;23,7;48,8
09/08/2022;06:30:00;23,1;48,2;23,4;47,7;23,7;49,0
09/08/2022;06:45:00;23,0;48,3;23,3;47,8;23,7;50,1
09/08/2022;07:00:00;23,0;48,4;23,3;47,9;23,7;51,2
09/08/2022;07:15:00;23,0;48,5;23,3;47,9;23,7;50,0
09/08/2022;07:30:00;23,0;48,5;23,3;48,1;23,6;49,9
09/08/2022;07:45:00;23,0;48,7;23,3;48,1;23,6;49,9
09/08/2022;08:00:00;23,0;48,8;23,3;48,2;23,6;50,4
09/08/2022;08:15:00;23,0;48,9;23,3;48,2;23,6;49,6
09/08/2022;08:30:00;23,0;48,9;23,2;48,3;23,6;51,4
09/08/2022;08:45:00;23,0;49,0;23,3;48,3;23,6;50,8
09/08/2022;09:00:00;23,0;49,1;23,2;48,2;23,6;49,7
09/08/2022;09:15:00;23,0;49,2;23,3;48,5;23,7;55,1
09/08/2022;09:30:00;22,1;44,0;22,9;46,1;23,4;58,1
09/08/2022;09:45:00;21,7;46,0;22,4;43,4;23,3;52,2
09/08/2022;10:00:00;21,4;44,4;22,2;42,4;23,0;48,0
09/08/2022;10:15:00;21,3;42,2;22,1;41,3;23,0;45,8
09/08/2022;10:30:00;21,3;43,0;22,0;41,2;22,8;43,3
09/08/2022;10:45:00;21,3;44,8;22,1;41,1;22,8;44,0
09/08/2022;11:00:00;21,2;45,5;22,0;41,0;22,6;42,1
09/08/2022;11:15:00;21,2;45,7;22,1;40,5;22,6;42,8
09/08/2022;11:30:00;21,3;44,3;22,1;39,7;22,9;46,0
09/08/2022;11:45:00;21,3;42,8;22,1;39,0;23,2;41,3
09/08/2022;12:00:00;21,2;40,4;22,2;38,0;23,5;45,8
09/08/2022;12:15:00;21,0;39,4;22,3;37,2;23,7;39,1
09/08/2022;12:30:00;21,0;38,6;22,3;36,1;23,4;37,1
09/08/2022;12:45:00;21,0;39,2;22,4;36,0;23,7;39,6
09/08/2022;13:00:00;21,0;38,5;22,5;38,6;23,6;38,3
09/08/2022;13:15:00;21,0;40,3;22,6;37,5;23,5;37,1
09/08/2022;13:30:00;21,1;39,0;22,6;36,2;23,6;35,2
09/08/2022;13:45:00;21,1;38,1;22,7;35,2;23,6;34,4
09/08/2022;14:00:00;21,1;37,9;22,8;34,8;23,7;34,1
09/08/2022;14:15:00;21,2;37,7;22,8;34,5;23,9;33,5
09/08/2022;14:30:00;21,2;37,0;22,9;34,2;24,1;34,5
09/08/2022;14:45:00;21,2;37,7;23,0;34,4;24,3;35,9
09/08/2022;15:00:00;21,3;37,4;23,0;34,4;24,4;38,8
09/08/2022;15:15:00;21,4;37,7;23,1;34,4;24,4;36,6
09/08/2022;15:30:00;21,4;37,7;23,1;34,3;24,5;40,2
09/08/2022;15:45:00;21,5;38,0;23,2;34,2;24,5;41,2
09/08/2022;16:00:00;21,6;37,6;23,3;34,2;24,5;41,5
09/08/2022;16:15:00;21,6;38,2;23,3;34,4;24,6;45,6
09/08/2022;16:30:00;21,6;37,3;23,3;34,1;24,5;43,1
09/08/2022;16:45:00;21,6;37,1;23,3;33,9;24,5;44,1
09/08/2022;17:00:00;21,6;37,0;23,3;33,7;24,5;42,4
09/08/2022;17:15:00;21,6;37,0;23,3;33,5;24,5;41,6
09/08/2022;17:30:00;21,6;37,2;23,3;33,9;24,4;40,4
09/08/2022;17:45:00;21,6;36,4;23,3;33,4;24,3;38,3
09/08/2022;18:00:00;21,6;36,1;23,3;33,3;24,3;38,2
09/08/2022;18:15:00;21,7;36,3;23,3;33,4;24,2;38,6
09/08/2022;18:30:00;21,6;36,1;23,3;33,4;24,2;38,7
09/08/2022;18:45:00;22,3;38,1;23,7;34,0;24,3;36,5
09/08/2022;19:00:00;23,0;38,9;24,2;34,4;24,6;37,0
09/08/2022;19:15:00;23,3;39,5;24,4;35,1;24,8;37,5
09/08/2022;19:30:00;23,6;39,9;24,6;35,6;24,9;38,3
09/08/2022;19:45:00;23,7;40,3;24,7;36,1;24,9;39,1
09/08/2022;20:00:00;23,9;40,8;24,7;36,5;24,9;39,5
09/08/2022;20:15:00;24,0;41,3;24,8;36,7;24,9;39,8
09/08/2022;20:30:00;24,0;41,7;24,8;37,2;24,9;40,5
09/08/2022;20:45:00;24,1;42,1;24,9;37,6;24,9;40,9
09/08/2022;21:00:00;24,1;42,5;24,9;37,9;24,9;41,7
09/08/2022;21:15:00;24,2;42,9;24,9;38,3;24,9;42,1
09/08/2022;21:30:00;24,3;43,1;24,9;38,6;24,9;42,4
09/08/2022;21:45:00;24,3;43,4;25,0;38,9;24,9;43,2
09/08/2022;22:00:00;24,3;43,7;25,0;39,3;24,9;43,3
09/08/2022;22:15:00;24,3;44,0;25,0;39,6;24,9;43,9
09/08/2022;22:30:00;24,4;44,2;25,0;39,9;24,9;44,7
09/08/2022;22:45:00;24,4;44,6;25,0;40,0;24,9;45,5
09/08/2022;23:00:00;24,4;44,9;25,0;40,2;24,9;45,2
09/08/2022;23:15:00;24,4;45,2;25,0;40,5;24,9;45,5
09/08/2022;23:30:00;24,4;45,2;25,0;40,8;24,9;45,9
09/08/2022;23:45:00;24,4;45,2;25,0;41,0;24,9;44,8
10/08/2022;00:00:00;24,4;45,1;24,9;41,2;24,9;45,1
10/08/2022;00:15:00;24,4;45,2;24,9;41,4;24,9;44,4
10/08/2022;00:30:00;24,4;45,5;25,0;41,8;24,9;45,0
10/08/2022;00:45:00;24,4;45,8;25,0;42,0;24,9;45,7
10/08/2022;01:00:00;24,4;45,8;24,9;42,1;24,9;45,2
10/08/2022;01:15:00;24,4;45,7;24,9;42,3;24,9;45,5
10/08/2022;01:30:00;24,4;45,7;24,9;42,6;24,8;45,5
10/08/2022;01:45:00;24,3;45,7;24,8;42,9;24,8;44,9
10/08/2022;02:00:00;24,3;45,7;24,8;43,7;24,8;44,9
10/08/2022;02:15:00;24,3;45,8;24,8;43,8;24,8;45,3
10/08/2022;02:30:00;24,3;45,9;24,8;43,9;24,7;45,7
10/08/2022;02:45:00;24,3;46,1;24,7;44,2;24,8;46,1
10/08/2022;03:00:00;24,2;46,1;24,7;44,6;24,8;45,9
10/08/2022;03:15:00;24,2;46,2;24,7;45,0;24,7;47,2
10/08/2022;03:30:00;24,2;46,4;24,6;45,2;24,7;47,6
10/08/2022;03:45:00;24,1;46,5;24,6;45,5;24,7;46,9
10/08/2022;04:00:00;24,1;46,6;24,5;45,6;24,6;47,7
10/08/2022;04:15:00;24,1;46,6;24,5;45,9;24,6;47,2
10/08/2022;04:30:00;24,0;46,7;24,5;46,0;24,6;47,4
10/08/2022;04:45:00;24,0;46,8;24,4;46,1;24,6;48,3
10/08/2022;05:00:00;24,0;46,9;24,4;46,4;24,5;48,0
10/08/2022;05:15:00;23,9;47,0;24,3;46,5;24,5;48,6
10/08/2022;05:30:00;23,9;47,1;24,3;46,7;24,5;48,3
10/08/2022;05:45:00;23,9;47,3;24,2;46,8;24,4;48,4
10/08/2022;06:00:00;23,8;47,4;24,2;46,7;24,4;47,9
10/08/2022;06:15:00;23,7;47,5;24,1;46,7;24,3;47,5
10/08/2022;06:30:00;23,7;47,5;24,1;46,8;24,3;47,6
10/08/2022;06:45:00;23,7;47,6;24,0;47,0;24,3;47,9
10/08/2022;07:00:00;23,6;47,6;24,0;47,1;24,3;47,9
10/08/2022;07:15:00;23,6;47,7;24,0;47,2;24,2;48,4
10/08/2022;07:30:00;23,6;47,8;23,9;47,4;24,2;48,3
10/08/2022;07:45:00;23,5;47,9;23,9;47,4;24,2;48,3
10/08/2022;08:00:00;23,5;47,9;23,8;47,5;24,1;48,2
10/08/2022;08:15:00;23,5;48,0;23,9;47,6;24,1;48,5
10/08/2022;08:30:00;23,6;48,2;23,8;47,6;24,1;48,2
10/08/2022;08:45:00;23,5;48,3;23,9;47,7;24,2;48,2
10/08/2022;09:00:00;23,6;48,3;23,9;47,7;24,2;48,5
10/08/2022;09:15:00;23,7;48,6;23,9;47,8;24,2;47,4
10/08/2022;09:30:00;23,7;49,6;24,0;47,6;24,3;49,9
10/08/2022;09:45:00;23,4;46,5;24,0;46,9;24,2;51,9
10/08/2022;10:00:00;22,3;41,2;23,3;42,0;24,0;50,1
10/08/2022;10:15:00;22,0;40,3;23,0;39,9;23,9;45,0
10/08/2022;10:30:00;21,8;40,2;22,8;38,9;23,9;45,4
10/08/2022;10:45:00;21,7;39,8;22,8;38,3;23,9;42,8
10/08/2022;11:00:00;21,7;39,8;22,8;37,9;24,0;45,2
10/08/2022;11:15:00;21,5;39,6;22,8;37,1;24,0;43,2
10/08/2022;11:30:00;21,5;39,1;22,8;36,7;24,2;44,4
10/08/2022;11:45:00;21,4;39,3;22,9;36,4;24,1;40,9
10/08/2022;12:00:00;21,5;39,5;22,9;36,4;24,3;43,2
10/08/2022;12:15:00;21,9;43,2;23,2;37,2;24,3;41,7
10/08/2022;12:30:00;21,9;40,7;23,6;38,1;24,5;46,3
10/08/2022;12:45:00;21,8;39,8;23,7;36,7;24,5;44,4
10/08/2022;13:00:00;21,8;39,7;23,8;36,2;24,6;45,3
10/08/2022;13:15:00;21,9;40,4;24,0;36,5;24,5;41,9
10/08/2022;13:30:00;22,0;40,1;24,1;36,2;24,6;40,9
10/08/2022;13:45:00;22,1;41,1;24,2;36,4;24,6;41,0
10/08/2022;14:00:00;22,2;40,1;24,3;36,0;24,6;40,0
10/08/2022;14:15:00;22,2;39,4;24,4;35,4;24,8;42,0
10/08/2022;14:30:00;22,2;39,4;24,4;34,7;24,9;43,1
10/08/2022;14:45:00;22,2;38,9;24,5;34,3;25,0;42,6
10/08/2022;14:53:23;;;;;25,1;44,4
10/08/2022;15:00:00;22,8;39,7;24,7;34,7;25,3;41,0
10/08/2022;15:15:00;22,8;40,3;24,8;36,6;25,4;43,5
10/08/2022;15:30:00;22,4;38,6;24,4;34,8;25,3;42,7
10/08/2022;15:45:00;22,1;37,9;24,2;34,1;25,2;40,4
10/08/2022;16:00:00;22,1;38,0;24,1;33,6;25,2;41,5
10/08/2022;16:15:00;22,0;37,3;24,0;33,2;25,1;38,7
10/08/2022;16:30:00;22,0;37,1;24,0;33,1;25,1;39,7
10/08/2022;16:45:00;21,9;37,8;23,9;33,1;25,1;41,0
10/08/2022;17:00:00;21,9;37,6;23,9;33,1;24,9;41,4
10/08/2022;17:15:00;21,9;37,5;23,9;33,0;25,0;41,1
10/08/2022;17:30:00;21,9;37,5;23,9;33,0;25,0;40,2
10/08/2022;17:45:00;21,9;38,4;23,9;33,2;24,9;39,8
10/08/2022;18:00:00;21,8;38,0;23,8;33,2;24,9;43,1
10/08/2022;18:15:00;22,0;37,3;23,8;33,2;24,9;41,6
10/08/2022;18:30:00;22,0;36,9;23,8;33,1;24,8;42,8
10/08/2022;18:45:00;22,0;36,8;23,8;33,4;24,6;45,1
10/08/2022;19:00:00;22,8;39,1;24,3;33,9;24,8;38,6
10/08/2022;19:15:00;23,4;40,1;24,7;34,4;25,1;39,3
10/08/2022;19:30:00;23,8;40,8;24,9;35,2;25,3;39,6
10/08/2022;19:45:00;24,0;41,0;25,1;35,9;25,3;40,6
10/08/2022;20:00:00;24,1;41,9;25,2;36,5;25,3;40,8
10/08/2022;20:15:00;24,2;42,4;25,2;37,0;25,4;42,1
10/08/2022;20:30:00;24,4;42,8;25,3;37,5;25,4;42,5
10/08/2022;20:45:00;24,4;43,3;25,3;37,8;25,4;43,3
10/08/2022;21:00:00;24,5;43,6;25,4;38,2;25,4;43,4
10/08/2022;21:15:00;24,6;44,1;25,4;38,5;25,4;43,7
10/08/2022;21:30:00;24,6;44,4;25,4;38,8;25,4;44,1
10/08/2022;21:45:00;24,6;44,6;25,4;39,1;25,4;44,3
10/08/2022;22:00:00;24,7;44,9;25,4;39,5;25,4;44,5
10/08/2022;22:15:00;24,7;45,1;25,4;39,7;25,4;45,0
10/08/2022;22:30:00;24,7;45,3;25,4;39,9;25,4;45,1
10/08/2022;22:45:00;24,7;45,5;25,4;40,2;25,3;45,0
10/08/2022;23:00:00;24,7;45,7;25,4;40,4;25,3;45,4
10/08/2022;23:15:00;24,7;45,9;25,4;40,7;25,3;45,9
10/08/2022;23:30:00;24,7;46,2;25,4;40,8;25,3;45,8
10/08/2022;23:45:00;24,7;46,3;25,4;41,1;25,3;46,3
11/08/2022;00:00:00;24,7;46,4;25,4;41,3;25,3;46,2
11/08/2022;00:15:00;24,7;46,4;25,3;41,6;25,3;45,9
11/08/2022;00:30:00;24,7;46,3;25,3;41,8;25,3;45,8
11/08/2022;00:45:00;24,7;46,1;25,3;42,1;25,2;45,6
11/08/2022;01:00:00;24,7;46,0;25,2;42,5;25,2;45,5
11/08/2022;01:15:00;24,6;45,9;25,2;42,9;25,2;45,4
11/08/2022;01:30:00;24,6;45,8;25,1;43,4;25,1;45,2
11/08/2022;01:45:00;24,6;45,8;25,1;43,9;25,1;45,3
11/08/2022;02:00:00;24,6;45,8;25,1;44,2;25,1;45,6
11/08/2022;02:15:00;24,5;45,9;25,0;44,3;25,0;45,7
11/08/2022;02:30:00;24,5;46,0;25,0;44,4;25,0;45,8
11/08/2022;02:45:00;24,5;46,0;24,9;44,5;25,0;45,9
11/08/2022;03:00:00;24,4;46,1;24,9;44,6;25,0;45,6
11/08/2022;03:15:00;24,4;46,1;24,8;44,7;24,9;45,8
11/08/2022;03:30:00;24,3;46,1;24,8;44,9;24,9;46,9
11/08/2022;03:45:00;24,3;46,3;24,8;45,2;24,9;46,8
11/08/2022;04:00:00;24,3;46,4;24,7;45,3;24,9;46,6
11/08/2022;04:15:00;24,2;46,6;24,7;45,6;24,8;46,8
11/08/2022;04:30:00;24,2;46,7;24,6;45,8;24,8;48,1
11/08/2022;04:45:00;24,2;46,9;24,6;46,0;24,8;47,9
11/08/2022;05:00:00;24,2;47,1;24,6;46,2;24,8;47,8
11/08/2022;05:15:00;24,1;47,2;24,5;46,4;24,7;48,0
11/08/2022;05:30:00;24,1;47,4;24,5;46,6;24,7;49,6
11/08/2022;05:45:00;24,0;47,6;24,4;46,8;24,7;48,4
11/08/2022;06:00:00;24,0;47,7;24,4;47,0;24,6;49,0
11/08/2022;06:15:00;24,0;47,8;24,3;47,2;24,6;50,6
11/08/2022;06:30:00;23,9;48,1;24,3;47,4;24,6;50,2
11/08/2022;06:45:00;23,9;48,3;24,2;47,5;24,5;50,6
11/08/2022;07:00:00;23,9;48,5;24,2;47,7;24,6;52,4
11/08/2022;07:15:00;23,8;48,7;24,2;48,0;24,5;51,2
11/08/2022;07:30:00;23,8;48,9;24,1;48,2;24,4;51,2
11/08/2022;07:45:00;23,8;49,0;24,1;48,2;24,4;50,7
11/08/2022;08:00:00;23,8;49,2;24,1;48,3;24,4;50,6
11/08/2022;08:15:00;23,8;49,2;24,1;48,5;24,4;50,0
11/08/2022;08:30:00;23,7;49,4;24,1;48,5;24,4;50,9
11/08/2022;08:45:00;23,7;49,4;24,1;48,7;24,4;50,3
11/08/2022;09:00:00;23,7;49,5;24,0;48,7;24,4;50,6
11/08/2022;09:15:00;23,7;49,6;24,0;48,8;24,4;50,5
11/08/2022;09:30:00;23,7;51,9;24,0;50,1;24,4;54,5
11/08/2022;09:45:00;22,6;43,2;23,6;45,4;24,2;49,6
11/08/2022;10:00:00;22,1;46,1;23,0;42,2;24,0;49,1
11/08/2022;10:15:00;21,9;46,0;22,8;41,1;23,9;47,5
11/08/2022;10:30:00;21,9;44,6;22,7;40,6;23,9;47,6
11/08/2022;10:45:00;21,9;42,9;22,7;40,1;23,9;46,9
11/08/2022;11:00:00;21,8;42,8;22,7;39,5;23,8;46,0
11/08/2022;11:15:00;21,7;42,1;22,6;39,0;23,8;44,6
11/08/2022;11:30:00;21,7;42,5;22,6;38,5;23,8;45,9
11/08/2022;11:45:00;21,6;41,4;22,6;38,3;23,9;45,2
11/08/2022;12:00:00;21,5;40,1;22,7;37,5;23,7;38,3
11/08/2022;12:15:00;21,4;40,5;22,7;36,9;23,9;39,8
