Localité;;"T01M3QR [°C]";"T01M3QR [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
01/08/2022;23:00:00;23,8;67,6
01/08/2022;23:15:00;23,8;67,7
01/08/2022;23:30:00;23,8;67,7
01/08/2022;23:45:00;23,8;67,7
02/08/2022;00:00:00;23,8;67,9
02/08/2022;00:15:00;23,8;67,8
02/08/2022;00:30:00;23,8;67,8
02/08/2022;00:45:00;23,8;67,8
02/08/2022;01:00:00;23,8;67,9
02/08/2022;01:15:00;23,8;67,8
02/08/2022;01:30:00;23,8;67,9
02/08/2022;01:45:00;23,8;68,0
02/08/2022;02:00:00;23,8;68,0
02/08/2022;02:15:00;23,8;68,0
02/08/2022;02:30:00;23,8;68,0
02/08/2022;02:45:00;23,8;68,0
02/08/2022;03:00:00;23,8;68,0
02/08/2022;03:15:00;23,8;68,1
02/08/2022;03:30:00;23,8;68,2
02/08/2022;03:45:00;23,8;68,2
02/08/2022;04:00:00;23,8;68,1
02/08/2022;04:15:00;23,8;68,1
02/08/2022;04:30:00;23,8;68,1
02/08/2022;04:45:00;23,8;68,1
02/08/2022;05:00:00;23,8;68,1
02/08/2022;05:15:00;23,8;68,1
02/08/2022;05:30:00;23,8;68,0
02/08/2022;05:45:00;23,8;67,9
02/08/2022;06:00:00;23,8;67,9
02/08/2022;06:15:00;23,8;67,8
02/08/2022;06:30:00;23,8;67,8
02/08/2022;06:45:00;23,8;67,8
02/08/2022;07:00:00;23,8;67,8
02/08/2022;07:15:00;23,8;67,7
02/08/2022;07:30:00;23,8;67,7
02/08/2022;07:45:00;23,8;67,8
02/08/2022;08:00:00;23,8;67,5
02/08/2022;08:15:00;23,8;67,4
02/08/2022;08:30:00;23,8;67,4
02/08/2022;08:45:00;23,8;67,5
02/08/2022;09:00:00;23,8;67,7
02/08/2022;09:15:00;23,8;67,7
02/08/2022;09:30:00;23,8;67,8
02/08/2022;09:45:00;23,8;67,8
02/08/2022;10:00:00;23,6;65,7
02/08/2022;10:09:06;23,4;64,2
02/08/2022;10:15:00;23,3;63,2
02/08/2022;10:30:00;23,1;61,6
02/08/2022;10:45:00;23,0;60,2
02/08/2022;11:00:00;22,9;61,0
02/08/2022;11:15:00;23,0;60,3
02/08/2022;11:30:00;22,9;59,4
02/08/2022;11:45:00;22,9;59,6
02/08/2022;12:00:00;23,0;60,0
02/08/2022;12:15:00;22,9;58,6
02/08/2022;12:30:00;22,9;57,8
02/08/2022;12:45:00;22,8;57,6
02/08/2022;13:00:00;22,8;57,2
02/08/2022;13:15:00;22,8;57,4
02/08/2022;13:30:00;22,8;56,8
02/08/2022;13:45:00;22,7;56,2
02/08/2022;14:00:00;22,6;55,8
02/08/2022;14:15:00;22,6;57,1
02/08/2022;14:30:00;22,7;57,1
02/08/2022;14:45:00;22,9;58,9
02/08/2022;15:00:00;22,8;57,2
02/08/2022;15:15:00;22,9;58,4
02/08/2022;15:30:00;23,4;60,0
02/08/2022;15:45:00;23,3;58,8
02/08/2022;16:00:00;23,0;57,6
02/08/2022;16:15:00;22,9;56,8
02/08/2022;16:30:00;22,7;56,1
02/08/2022;16:45:00;22,7;57,2
02/08/2022;17:00:00;22,6;55,8
02/08/2022;17:15:00;22,5;55,2
02/08/2022;17:30:00;22,6;56,5
02/08/2022;17:45:00;23,0;57,9
02/08/2022;18:00:00;23,2;58,2
02/08/2022;18:15:00;23,3;57,9
02/08/2022;18:30:00;23,4;58,3
02/08/2022;18:45:00;23,5;58,9
02/08/2022;19:00:00;23,5;59,3
02/08/2022;19:15:00;23,6;60,8
02/08/2022;19:30:00;23,6;61,6
02/08/2022;19:45:00;23,6;62,0
02/08/2022;20:00:00;23,6;62,6
02/08/2022;20:15:00;23,6;62,8
02/08/2022;20:30:00;23,7;63,1
02/08/2022;20:45:00;23,7;63,6
02/08/2022;21:00:00;23,7;63,8
02/08/2022;21:15:00;23,7;63,7
02/08/2022;21:30:00;23,7;64,1
02/08/2022;21:45:00;23,7;63,9
02/08/2022;22:00:00;23,7;64,4
02/08/2022;22:15:00;23,7;64,4
02/08/2022;22:30:00;23,7;64,2
02/08/2022;22:45:00;23,7;64,5
02/08/2022;23:00:00;23,7;64,4
02/08/2022;23:15:00;23,7;64,4
02/08/2022;23:30:00;23,7;64,3
02/08/2022;23:45:00;23,7;64,6
03/08/2022;00:00:00;23,8;64,6
03/08/2022;00:15:00;23,8;64,4
03/08/2022;00:30:00;23,8;64,4
03/08/2022;00:45:00;23,8;64,5
03/08/2022;01:00:00;23,8;64,8
03/08/2022;01:15:00;23,8;64,8
03/08/2022;01:30:00;23,8;65,0
03/08/2022;01:45:00;23,8;65,0
03/08/2022;02:00:00;23,8;64,8
03/08/2022;02:15:00;23,8;65,2
03/08/2022;02:30:00;23,8;65,1
03/08/2022;02:45:00;23,8;65,2
03/08/2022;03:00:00;23,8;65,2
03/08/2022;03:15:00;23,8;65,3
03/08/2022;03:30:00;23,8;65,3
03/08/2022;03:45:00;23,8;65,2
03/08/2022;04:00:00;23,8;65,4
03/08/2022;04:15:00;23,8;65,4
03/08/2022;04:30:00;23,8;65,6
03/08/2022;04:45:00;23,8;65,5
03/08/2022;05:00:00;23,8;65,5
03/08/2022;05:15:00;23,8;65,5
03/08/2022;05:30:00;23,8;65,6
03/08/2022;05:45:00;23,8;65,8
03/08/2022;06:00:00;23,8;65,9
03/08/2022;06:15:00;23,8;65,9
03/08/2022;06:30:00;23,8;66,0
03/08/2022;06:45:00;23,8;66,1
03/08/2022;07:00:00;23,8;66,1
03/08/2022;07:15:00;23,8;66,2
03/08/2022;07:30:00;23,8;66,3
03/08/2022;07:45:00;23,8;###
03/08/2022;08:00:00;23,8;###
03/08/2022;08:15:00;23,8;###
03/08/2022;08:30:00;23,8;###
03/08/2022;08:45:00;23,8;###
03/08/2022;09:00:00;23,8;66,6
03/08/2022;09:15:00;23,8;66,6
03/08/2022;09:30:00;23,4;63,0
03/08/2022;09:45:00;23,2;61,2
03/08/2022;10:00:00;23,0;59,6
03/08/2022;10:15:00;22,9;58,5
03/08/2022;10:30:00;22,9;57,9
03/08/2022;10:45:00;22,9;57,2
03/08/2022;11:00:00;22,9;59,6
03/08/2022;11:15:00;22,9;61,7
03/08/2022;11:30:00;22,9;62,5
03/08/2022;11:45:00;22,9;63,3
03/08/2022;12:00:00;23,1;65,2
03/08/2022;12:15:00;22,9;64,4
03/08/2022;12:30:00;22,9;65,6
03/08/2022;12:45:00;23,0;65,3
03/08/2022;13:00:00;22,9;64,7
03/08/2022;13:15:00;22,9;64,8
03/08/2022;13:30:00;23,2;###
03/08/2022;13:45:00;23,3;66,7
03/08/2022;14:00:00;23,4;###
03/08/2022;14:03:59;23,5;66,0
03/08/2022;14:15:00;23,5;66,5
03/08/2022;14:30:00;23,9;67,9
03/08/2022;14:45:00;23,7;67,6
03/08/2022;15:00:00;24,0;66,8
03/08/2022;15:15:00;23,9;65,2
03/08/2022;15:30:00;23,9;66,0
03/08/2022;15:45:00;23,8;65,8
03/08/2022;16:00:00;23,8;65,7
03/08/2022;16:15:00;23,8;64,2
03/08/2022;16:30:00;23,6;63,7
03/08/2022;16:45:00;23,5;62,7
03/08/2022;17:00:00;23,4;62,0
03/08/2022;17:15:00;23,4;62,9
03/08/2022;17:30:00;23,6;63,5
03/08/2022;17:45:00;23,7;63,8
03/08/2022;18:00:00;23,7;64,1
03/08/2022;18:15:00;23,8;64,3
03/08/2022;18:30:00;23,8;64,6
03/08/2022;18:45:00;23,9;64,8
03/08/2022;19:00:00;23,9;65,1
03/08/2022;19:15:00;23,9;65,2
03/08/2022;19:30:00;23,9;65,4
03/08/2022;19:45:00;23,9;65,6
03/08/2022;20:00:00;23,9;65,7
03/08/2022;20:15:00;23,9;65,8
03/08/2022;20:30:00;23,9;65,9
03/08/2022;20:45:00;23,9;66,0
03/08/2022;21:00:00;23,9;66,2
03/08/2022;21:15:00;23,9;66,2
03/08/2022;21:30:00;23,9;###
03/08/2022;21:45:00;24,0;###
03/08/2022;22:00:00;23,9;66,6
03/08/2022;22:15:00;23,9;66,8
03/08/2022;22:30:00;24,0;66,9
03/08/2022;22:45:00;23,9;67,0
03/08/2022;23:00:00;23,9;67,0
03/08/2022;23:15:00;23,9;67,0
03/08/2022;23:30:00;23,9;67,2
03/08/2022;23:45:00;23,9;67,2
04/08/2022;00:00:00;23,9;67,3
04/08/2022;00:15:00;23,9;67,3
04/08/2022;00:30:00;23,9;67,4
04/08/2022;00:45:00;24,0;67,5
04/08/2022;01:00:00;23,9;67,5
04/08/2022;01:15:00;24,0;67,6
04/08/2022;01:30:00;24,0;67,7
04/08/2022;01:45:00;23,9;67,7
04/08/2022;02:00:00;24,0;67,6
04/08/2022;02:15:00;24,0;67,7
04/08/2022;02:30:00;24,0;67,7
04/08/2022;02:45:00;23,9;67,7
04/08/2022;03:00:00;24,0;67,8
04/08/2022;03:15:00;24,0;67,8
04/08/2022;03:30:00;24,0;67,8
04/08/2022;03:45:00;24,0;67,8
04/08/2022;04:00:00;24,0;67,8
04/08/2022;04:15:00;24,0;67,9
04/08/2022;04:30:00;24,0;67,9
04/08/2022;04:45:00;24,0;68,0
04/08/2022;05:00:00;24,0;68,0
04/08/2022;05:15:00;24,0;68,1
04/08/2022;05:30:00;24,0;68,1
04/08/2022;05:45:00;24,0;68,1
04/08/2022;06:00:00;24,0;68,1
04/08/2022;06:15:00;24,0;68,2
04/08/2022;06:30:00;24,0;68,2
04/08/2022;06:45:00;24,0;68,3
04/08/2022;07:00:00;24,0;68,4
04/08/2022;07:15:00;24,0;68,3
04/08/2022;07:30:00;24,0;68,3
04/08/2022;07:45:00;23,8;###
04/08/2022;08:00:00;23,4;64,0
04/08/2022;08:15:00;23,2;62,6
04/08/2022;08:30:00;23,0;61,6
04/08/2022;08:45:00;22,9;61,0
04/08/2022;09:00:00;22,9;61,3
04/08/2022;09:15:00;23,3;62,4
04/08/2022;09:30:00;23,5;63,2
04/08/2022;09:45:00;23,6;63,7
04/08/2022;10:00:00;23,7;64,5
04/08/2022;10:15:00;23,7;64,6
04/08/2022;10:30:00;23,8;64,8
04/08/2022;10:45:00;23,8;64,9
04/08/2022;11:00:00;23,8;65,1
04/08/2022;11:00:41;23,9;65,0
04/08/2022;11:15:00;23,7;64,2
04/08/2022;11:30:00;23,4;62,6
04/08/2022;11:45:00;23,3;62,7
04/08/2022;12:00:00;23,4;62,8
04/08/2022;12:15:00;23,6;62,7
04/08/2022;12:30:00;23,6;63,2
04/08/2022;12:45:00;24,0;64,5
04/08/2022;13:00:00;23,8;62,6
04/08/2022;13:15:00;23,8;61,9
04/08/2022;13:30:00;23,7;61,3
04/08/2022;13:45:00;23,7;61,4
04/08/2022;14:00:00;23,8;60,9
04/08/2022;14:15:00;23,9;62,2
04/08/2022;14:30:00;24,0;62,7
04/08/2022;14:45:00;23,9;61,7
04/08/2022;15:00:00;24,0;61,6
04/08/2022;15:15:00;24,0;61,1
