Localité;;"T02M3RE [°C]";"T02M3RE [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
02/08/2022;00:45:00;24,4;65,4
02/08/2022;01:00:00;24,4;65,4
02/08/2022;01:15:00;24,4;65,5
02/08/2022;01:30:00;24,4;65,5
02/08/2022;01:45:00;24,4;65,5
02/08/2022;02:00:00;24,4;65,6
02/08/2022;02:15:00;24,4;65,6
02/08/2022;02:30:00;24,4;65,7
02/08/2022;02:45:00;24,4;65,8
02/08/2022;03:00:00;24,4;66,0
02/08/2022;03:15:00;24,4;65,9
02/08/2022;03:30:00;24,4;65,8
02/08/2022;03:45:00;24,4;65,9
02/08/2022;04:00:00;24,4;65,8
02/08/2022;04:15:00;24,4;65,9
02/08/2022;04:30:00;24,4;65,9
02/08/2022;04:45:00;24,4;65,9
02/08/2022;05:00:00;24,4;65,9
02/08/2022;05:15:00;24,4;66,0
02/08/2022;05:30:00;24,4;66,0
02/08/2022;05:45:00;24,4;65,9
02/08/2022;06:00:00;24,4;65,9
02/08/2022;06:15:00;24,4;65,9
02/08/2022;06:30:00;24,4;65,9
02/08/2022;06:45:00;24,4;65,9
02/08/2022;07:00:00;24,4;66,0
02/08/2022;07:15:00;24,4;66,0
02/08/2022;07:30:00;24,4;65,9
02/08/2022;07:45:00;24,4;65,9
02/08/2022;08:00:00;24,4;65,9
02/08/2022;08:15:00;24,4;65,9
02/08/2022;08:30:00;24,3;65,9
02/08/2022;08:45:00;24,4;65,8
02/08/2022;09:00:00;24,4;65,9
02/08/2022;09:15:00;24,4;65,9
02/08/2022;09:30:00;24,4;65,9
02/08/2022;09:45:00;24,4;65,9
02/08/2022;10:00:00;24,3;64,9
02/08/2022;10:15:00;24,1;61,9
02/08/2022;10:30:00;24,0;60,2
02/08/2022;10:45:00;24,0;59,5
02/08/2022;11:00:00;23,9;59,1
02/08/2022;11:15:00;23,9;58,9
02/08/2022;11:30:00;23,9;58,0
02/08/2022;11:45:00;23,9;58,0
02/08/2022;12:00:00;23,9;57,9
02/08/2022;12:15:00;23,9;57,0
02/08/2022;12:30:00;23,8;56,1
02/08/2022;12:45:00;23,8;55,9
02/08/2022;13:00:00;23,8;54,9
02/08/2022;13:15:00;23,8;54,7
02/08/2022;13:30:00;23,7;53,8
02/08/2022;13:45:00;23,6;53,2
02/08/2022;14:00:00;23,5;52,6
02/08/2022;14:15:00;23,6;53,2
02/08/2022;14:30:00;23,7;53,9
02/08/2022;14:45:00;23,7;54,9
02/08/2022;15:00:00;23,7;55,1
02/08/2022;15:15:00;23,8;55,2
02/08/2022;15:30:00;23,9;57,1
02/08/2022;15:45:00;24,0;56,4
02/08/2022;16:00:00;23,9;55,4
02/08/2022;16:15:00;23,8;54,5
02/08/2022;16:30:00;23,7;53,2
02/08/2022;16:45:00;23,7;54,1
02/08/2022;17:00:00;23,5;52,8
02/08/2022;17:15:00;23,5;52,2
02/08/2022;17:30:00;23,5;52,9
02/08/2022;17:45:00;23,7;54,2
02/08/2022;18:00:00;23,8;54,8
02/08/2022;18:15:00;23,9;55,3
02/08/2022;18:30:00;23,9;55,7
